CustomerID,Amount,Frequency,Recency,labels
12348.0,1797.24,31,74,2
12349.0,1757.55,73,18,1
12350.0,334.4,17,309,0
12352.0,2506.04,85,35,1
12353.0,89.0,4,203,0
12354.0,1079.4,58,231,0
12355.0,459.4,13,213,0
12356.0,2811.43,59,22,1
12358.0,1168.06,19,1,2
12360.0,2662.06,129,51,1
12361.0,189.9,10,286,0
12363.0,552.0,23,109,2
12364.0,1313.1,85,7,1
12365.0,641.38,22,290,0
12367.0,168.9,11,3,2
12370.0,3545.69,167,50,1
12371.0,1887.96,63,44,1
12372.0,1298.04,52,71,2
12373.0,364.6,14,310,0
12374.0,742.9300000000001,33,24,2
12375.0,457.5,17,10,2
12377.0,1628.12,77,314,0
12379.0,852.24,40,81,2
12380.0,2724.81,104,21,1
12381.0,1845.31,87,4,1
12383.0,1850.56,99,184,1
12384.0,585.27,27,28,2
12386.0,401.9,10,337,0
12388.0,2780.66,100,15,1
12390.0,549.84,32,79,2
12391.0,460.89,100,21,2
12393.0,1582.6000000000001,64,71,1
12394.0,1272.48,27,63,2
12395.0,3018.63,156,18,1
12397.0,2409.9,126,35,1
12398.0,1635.6599999999999,85,45,1
12399.0,1108.65,59,118,2
12401.0,84.3,5,302,0
12402.0,225.6,11,322,0
12403.0,427.7,5,49,2
12405.0,1710.39,54,148,1
12406.0,3415.3,105,21,1
12407.0,1708.1200000000001,77,49,1
12408.0,2888.55,105,32,1
12410.0,693.3299999999999,26,308,0
12412.0,1226.88,61,74,2
12413.0,758.1,38,66,2
12414.0,562.41,18,216,0
12418.0,668.58,34,112,2
12420.0,600.39,29,63,2
12421.0,807.04,45,15,2
12422.0,803.5600000000001,39,95,2
12423.0,1859.31,125,0,1
12424.0,1760.96,30,162,2
12425.0,777.2,36,77,2
12426.0,582.73,30,194,0
12427.0,825.8,31,21,2
12430.0,256.4,11,42,2
12434.0,806.14,50,84,2
12436.0,509.01,16,99,2
12438.0,2906.85,98,13,1
12442.0,172.06,12,2,2
12445.0,133.4,4,21,2
12446.0,1002.3100000000001,58,57,2
12447.0,476.49,26,242,0
12448.0,449.45,22,43,2
12450.0,197.88,8,155,0
12452.0,430.57,22,16,2
12453.0,707.09,43,133,2
12454.0,3528.34,15,55,1
12455.0,2466.86,90,72,1
12456.0,3181.04,125,43,1
12457.0,2363.23,63,65,1
12458.0,947.4,38,70,2
12461.0,826.88,35,93,2
12462.0,1189.59,62,18,2
12463.0,1344.78,83,52,1
12464.0,1212.05,29,9,2
12465.0,742.1899999999999,47,16,2
12468.0,729.5400000000001,38,187,0
12475.0,723.38,36,53,2
12478.0,680.99,36,3,2
12479.0,527.2,31,10,2
12480.0,3281.63,154,27,1
12483.0,2484.98,75,16,1
12488.0,1298.66,55,9,2
12489.0,334.93,15,335,0
12491.0,460.40000000000003,26,38,2
12492.0,263.21000000000004,20,62,2
12493.0,433.74,22,165,0
12494.0,1246.1000000000001,77,15,1
12497.0,1043.1,14,81,2
12498.0,403.70000000000005,23,20,2
12501.0,2169.39,149,336,1
12504.0,482.04999999999995,9,17,2
12506.0,73.5,23,232,0
12507.0,1304.81,22,133,2
12508.0,398.27,69,25,2
12509.0,176.5,7,283,0
12510.0,982.5699999999999,33,142,2
12512.0,138.03,34,65,2
12513.0,612.29,35,112,2
12514.0,1017.68,51,266,0
12515.0,383.7,16,352,0
12516.0,1312.06,26,77,2
12518.0,2056.89,124,0,1
12519.0,340.84,18,63,2
12520.0,2634.26,152,78,1
12521.0,599.68,38,142,2
12522.0,192.72,12,38,2
12523.0,1789.77,106,18,1
12526.0,1316.66,71,0,1
12527.0,348.71000000000004,18,81,2
12528.0,1933.48,92,8,1
12530.0,1662.28,66,59,1
12531.0,125.22,17,14,2
12532.0,349.83000000000004,16,29,2
12534.0,1089.18,63,130,2
12535.0,716.35,34,91,2
12538.0,363.95,21,28,2
12541.0,981.18,52,29,2
12544.0,372.7,19,35,2
12545.0,1000.39,50,74,2
12546.0,1161.5,69,46,2
12547.0,207.79999999999998,8,197,0
12548.0,95.19999999999999,5,165,0
12550.0,964.83,57,78,2
12551.0,168.0,10,357,0
12552.0,437.82,20,38,2
12556.0,603.71,121,49,1
12558.0,269.96,11,7,2
12559.0,561.71,21,310,0
12560.0,2134.01,105,4,1
12561.0,238.85,16,302,0
12564.0,456.9,21,260,0
12565.0,145.92,9,288,0
12566.0,351.65,19,85,2
12571.0,519.61,34,39,2
12572.0,1020.42,60,8,2
12573.0,160.54000000000002,28,226,0
12574.0,218.45,11,315,0
12576.0,1315.83,88,35,1
12577.0,657.8,147,34,1
12578.0,2794.51,114,20,1
12579.0,440.42,29,77,2
12580.0,415.7,24,246,0
12581.0,197.71,15,39,2
12582.0,511.36,22,238,0
12584.0,2338.15,96,3,1
12585.0,2040.1,87,233,1
12586.0,196.94000000000003,11,16,2
12587.0,144.0,4,7,2
12588.0,214.89999999999998,10,38,2
12589.0,646.68,35,28,2
12591.0,452.84999999999997,26,316,0
12592.0,437.6,18,91,2
12593.0,418.09999999999997,21,108,2
12594.0,3338.2200000000003,118,37,1
12596.0,618.27,27,50,2
12598.0,3023.08,132,9,1
12599.0,1032.58,62,28,2
12600.0,2599.04,64,28,1
12601.0,577.0600000000001,28,189,0
12602.0,153.12,12,58,2
12603.0,739.1999999999999,3,21,2
12604.0,254.18,16,78,2
12607.0,1579.51,101,59,1
12609.0,1126.85,60,77,2
12610.0,2099.54,106,22,1
12611.0,1193.32,65,51,2
12612.0,704.0400000000001,19,73,2
12613.0,3344.38,153,56,1
12614.0,315.6,20,277,0
12615.0,2291.19,105,1,1
12616.0,713.3,32,94,2
12617.0,355.53,42,28,2
12618.0,177.31,11,21,2
12619.0,3641.24,90,15,1
12620.0,1339.41,92,14,1
12622.0,180.1,11,231,0
12623.0,305.1,18,275,0
12624.0,641.13,38,105,2
12625.0,2683.82,86,211,1
12628.0,786.46,41,3,2
12630.0,1270.88,64,9,2
12631.0,640.5,31,56,2
12633.0,2163.98,101,58,1
12635.0,1689.18,101,89,1
12638.0,671.69,39,32,2
12639.0,486.1,22,238,0
12640.0,1174.58,53,23,2
12641.0,185.9,10,114,2
12642.0,1013.26,47,24,2
